,sec,mins,conc (ppm),C/C0
0,0,0,6781,0.356294662
1,5,0.083333333,5877,0.308795713
2,10,0.166666667,4631,0.243327028
3,15,0.25,3643,0.19141446
4,20,0.333333333,3161,0.166088693
5,25,0.416666667,2859,0.150220681
6,30,0.5,2618,0.137557797
7,35,0.583333333,2415,0.126891551
8,40,0.666666667,2229,0.117118537
9,45,0.75,2066,0.108554014
10,50,0.833333333,1889,0.099253888
11,55,0.916666667,1781,0.093579235
12,60,1,1688,0.088692728
13,65,1.083333333,1606,0.084384195
14,70,1.166666667,1556,0.081757041
15,75,1.25,1467,0.077080706
16,80,1.333333333,1407,0.073928121
17,85,1.416666667,1351,0.070985708
18,90,1.5,1282,0.067360235
19,95,1.583333333,1235,0.06489071
20,100,1.666666667,1191,0.062578815
21,105,1.75,1150,0.060424548
22,110,1.833333333,1112,0.058427911
23,115,1.916666667,1076,0.05653636
24,120,2,1042,0.054749895
25,125,2.083333333,1010,0.053068516
26,155,2.583333333,842,0.044241278
27,160,2.666666667,833,0.04376839
28,165,2.75,812,0.042664985
29,170,2.833333333,792,0.041614124
30,175,2.916666667,766,0.040248003
31,180,3,747,0.039249685
32,185,3.083333333,729,0.038303909
33,190,3.166666667,712,0.037410677
34,195,3.25,695,0.036517444
35,200,3.333333333,679,0.035676755
36,205,3.416666667,663,0.034836066
37,210,3.5,648,0.034047919
38,215,3.583333333,629,0.033049601
39,220,3.666666667,615,0.032313997
40,225,3.75,602,0.031630937
41,230,3.833333333,589,0.030947877
42,235,3.916666667,576,0.030264817
43,240,4,564,0.0296343
44,245,4.083333333,552,0.029003783
45,250,4.166666667,541,0.028425809
46,255,4.25,526,0.027637663
47,260,4.333333333,515,0.027059689
48,265,4.416666667,505,0.026534258
49,270,4.5,495,0.026008827
50,275,4.583333333,485,0.025483396
51,280,4.666666667,476,0.025010509
52,285,4.75,466,0.024485078
53,290,4.833333333,457,0.02401219
54,295,4.916666667,448,0.023539302
55,300,5,437,0.022961328
56,305,5.083333333,429,0.022540984
57,310,5.166666667,421,0.022120639
58,315,5.25,413,0.021700294
59,320,5.333333333,405,0.02127995
60,325,5.416666667,398,0.020912148
61,330,5.5,390,0.020491803
62,335,5.583333333,383,0.020124002
63,340,5.666666667,374,0.019651114
64,345,5.75,367,0.019283312
65,350,5.833333333,360,0.018915511
66,355,5.916666667,354,0.018600252
